Timestamp,Angle,Velocity,Phase
1224629,17.56,-13.92,353.22
1224652,16.96,-13.90,352.99
1224675,16.26,-15.85,351.68
1224703,15.22,-23.50,346.96
1224726,14.17,-24.59,345.41
1224749,13.27,-20.53,346.93
1224772,12.49,-16.40,348.86
1224795,15.89,26.50,14.05
1224818,13.86,15.47,9.51
1224841,16.99,36.08,17.66
1224864,16.98,9.31,4.70
1224887,15.39,-22.62,347.57
1224910,13.43,-45.03,333.30
1224934,11.69,-48.46,328.14
1224958,9.22,-76.68,308.72
1224982,6.25,-85.32,296.03
1225006,3.72,-62.82,291.57
1225030,2.24,-33.28,294.12
1225054,1.18,-28.18,285.59
1225078,0.15,-28.90,271.92
1225102,-0.92,-28.32,257.81
1225125,-1.54,-13.82,233.34
1225149,-1.72,4.53,158.38
1225172,-1.26,24.31,109.06
1225195,-0.84,34.02,99.33
1225218,-1.80,24.41,116.20
1225241,-3.69,4.31,170.07
1225264,-4.73,-25.81,219.30
1225287,-4.07,-32.13,229.83
1225310,-3.26,-37.89,240.18
1225333,-3.55,-40.27,239.52
1225357,-4.57,-22.46,216.39
1225380,-4.70,6.66,168.01
1225403,-3.68,35.91,124.32
1225426,-2.96,31.69,121.92
1225449,-2.68,-3.15,190.00
1225472,-2.77,-14.17,217.48
1225495,-2.97,-0.26,180.75
1225518,-3.16,25.15,129.92
1225541,-2.32,29.88,117.33
1225564,-1.43,21.04,114.33
1225587,-0.85,0.40,175.97
1225610,-0.57,-12.11,252.48
1225633,-0.42,-15.59,259.77
1225656,-0.11,-11.94,266.37
1225679,0.43,-5.09,299.43
1225702,0.95,-1.24,348.97
1225725,1.36,-2.91,342.27
1225749,1.73,-5.84,333.18
1225772,2.08,-7.35,332.03
1225795,2.44,-4.67,343.99
1225818,2.90,0.39,1.15
1225841,3.41,3.95,9.84
1225864,3.90,3.18,6.98
1225887,4.37,0.87,1.71
1225910,4.84,-1.02,358.18
1225933,5.28,-2.41,356.08
1225956,5.70,-3.59,354.61
1225979,6.16,-3.89,354.59
1226002,6.60,-5.09,353.40
1226025,7.10,-2.03,357.54
1226048,7.83,3.50,3.83
1226071,8.56,5.05,5.05
1226094,8.94,-3.95,356.20
1226117,9.45,-3.56,356.77
1226140,9.94,0.69,0.59
1226163,10.51,2.47,2.01
1226186,11.08,0.95,0.73
1226209,11.66,1.34,0.99
1226232,12.31,2.47,1.72
1226255,12.98,2.45,1.62
1226278,13.56,-0.89,359.43
1226301,14.06,-4.19,357.44
1226324,14.54,-5.33,356.85
1226347,15.07,-4.16,357.63
1226370,15.58,-5.09,357.19
1226393,16.01,-6.31,356.62
1226416,16.48,-5.21,357.29
1226439,17.01,-3.69,358.14
1226462,17.52,-2.95,358.55
1226485,18.05,-2.85,358.64
1226508,18.60,-2.68,358.76
