Timestamp,Angle,Velocity,Phase
53493,-6.38,-3.85,185.17
53516,-6.12,-4.05,185.66
53539,-6.10,-8.39,191.65
53562,-5.94,-9.16,193.03
53585,-5.73,-8.84,193.02
53608,-5.59,-7.50,191.38
53631,-5.37,-5.16,188.20
53654,-5.20,-8.32,193.51
53678,-5.11,-11.23,198.26
53701,-5.09,-11.40,198.56
53724,-5.23,-11.19,197.81
53748,-5.28,-7.78,192.47
53771,-5.29,-10.22,196.17
53795,-5.56,-15.58,202.80
53818,-5.78,-8.47,192.38
53841,-6.06,-10.62,194.72
53864,-6.25,-1.63,182.23
53887,-6.36,-1.05,181.41
53911,-6.43,-5.00,186.65
53934,-6.54,-4.95,186.48
53957,-6.58,-0.89,181.17
53980,-6.53,-1.76,182.32
54003,-6.54,-0.54,180.71
54026,-6.46,0.63,179.16
54049,-6.37,0.24,179.68
54072,-6.28,-1.19,181.63
54095,-6.25,-3.76,185.16
54118,-6.29,-6.33,188.58
54141,-6.34,-4.76,186.43
54165,-6.38,-6.05,188.10
54189,-6.44,-5.53,187.35
54218,-6.51,-3.82,185.02
54241,-6.55,-1.99,182.61
54264,-6.56,-3.26,184.26
54287,-6.53,-1.31,181.73
54310,-6.52,-3.41,184.49
54335,-6.52,-2.96,183.90
54358,-6.61,-6.11,187.90
54381,-6.70,-3.99,185.11
54404,-6.71,-2.08,182.66
54427,-6.75,-2.60,183.30
54450,-6.81,-5.37,186.74
54473,-6.88,-4.60,185.72
54496,-6.97,-3.65,184.49
54519,-7.01,-3.18,183.89
54543,-7.11,-5.05,186.07
54566,-7.23,-4.51,185.35
54590,-7.28,-0.98,181.16
54613,-7.27,-1.48,181.75
54636,-7.34,-3.63,184.24
54659,-7.37,-2.27,182.65
54682,-7.34,0.62,179.28
54705,-7.33,-2.58,183.02
54728,-7.46,-6.29,187.21
54752,-7.65,-4.81,185.39
54775,-7.76,1.86,177.94
54798,-7.91,-10.79,191.56
54821,-8.13,-5.84,186.15
54844,-8.27,1.47,178.47
54867,-8.30,-0.05,180.05
54890,-8.58,-9.50,189.43
54913,-8.94,-8.73,188.34
