Timestamp,Angle,Velocity_reconstructed,Phase_deg,Stage
558553,-0.998,5.56,-14.618,2
558576,-0.86,4.246,-15.598,2
558599,-0.743,2.942,-16.558,2
558622,-0.663,1.69,-17.467,2
558645,-0.627,0.571,-18.271,2
558668,-0.632,-0.306,-18.901,2
558691,-0.666,-0.846,-19.289,2
558714,-0.713,-0.999,-19.4,2
558737,-0.753,-0.793,-19.253,2
558760,-0.775,-0.336,-18.923,2
558783,-0.771,0.208,-18.53,2
558806,-0.745,0.659,-18.204,2
558829,-0.708,0.871,-18.053,2
558852,-0.672,0.767,-18.129,2
558875,-0.651,0.356,-18.426,2
558898,-0.653,-0.279,-18.881,2
558921,-0.68,-1.0,-19.4,2
558944,-0.727,-1.656,-19.874,2
558967,-0.784,-2.11,-20.206,2
558990,-0.839,-2.261,-20.319,2
559013,-0.884,-2.047,-20.167,2
559036,-0.912,-1.446,-19.731,2
559059,-0.92,-0.473,-19.023,2
559082,-0.906,0.82,-18.082,2
559105,-0.87,2.323,-16.991,2
559128,-0.81,3.859,-15.887,2
559151,-0.727,5.17,-14.958,2
559174,-0.62,5.928,-14.439,2
559197,-0.499,5.776,-14.574,2
559220,-0.378,4.403,-15.569,2
559243,-0.287,1.628,-17.537,2
559266,-0.261,-2.508,-20.451,2
559289,-0.339,-7.688,-24.106,2
559313,-0.554,-13.319,-28.122,2
559337,-0.919,-18.591,-31.988,2
559360,-1.421,-22.609,-35.137,2
559384,-2.016,-24.554,-37.014,2
559408,-2.636,-23.856,-37.115,2
559431,-3.206,-20.325,-35.032,2
559454,-3.649,-14.223,-30.571,2
559477,-3.909,-6.244,-24.02,2
559500,-3.953,2.591,-16.396,2
559523,-3.777,11.101,-9.223,2
559547,-3.405,18.151,-3.802,2
559570,-2.885,22.848,-0.731,2
559593,-2.285,24.695,0.0,3
559616,-1.68,23.665,-1.288,2
559639,-1.142,20.188,-4.13,2
559662,-0.725,15.049,-7.962,2
559686,-0.459,9.223,-12.154,2
559709,-0.344,3.677,-16.086,2
559732,-0.356,-0.801,-19.251,2
559755,-0.452,-3.74,-21.341,2
559778,-0.583,-5.027,-22.277,2
559802,-0.708,-4.881,-22.193,2
559825,-0.797,-3.755,-21.396,2
559848,-0.84,-2.202,-20.276,2
559872,-0.841,-0.735,-19.212,2
559896,-0.818,0.278,-18.478,2
559920,-0.789,0.675,-18.191,2
559943,-0.772,0.494,-18.323,2
559966,-0.778,-0.073,-18.733,2
559989,-0.806,-0.76,-19.23,2
560012,-0.852,-1.309,-19.629,2
560035,-0.902,-1.542,-19.801,2
560058,-0.945,-1.39,-19.692,2
560081,-0.972,-0.9,-19.335,2
560104,-0.977,-0.2,-18.824,2
560127,-0.961,0.544,-18.281,2
560151,-0.929,1.177,-17.821,2
560174,-0.887,1.593,-17.52,2
560197,-0.843,1.758,-17.404,2
560220,-0.802,1.702,-17.448,2
560244,-0.768,1.507,-17.591,2
560267,-0.741,1.276,-17.759,2
560290,-0.72,1.101,-17.887,2
560313,-0.701,1.041,-17.931,2
560336,-0.68,1.109,-17.883,2
560359,-0.655,1.273,-17.766,2
560387,-0.623,1.473,-17.625,2
560410,-0.584,1.637,-17.51,2
560433,-0.539,1.716,-17.457,2
560456,-0.492,1.698,-17.473,2
560479,-0.444,1.621,-17.531,2
560502,-0.398,1.566,-17.574,2
560525,-0.356,1.63,-17.531,2
560548,-0.318,1.891,-17.349,2
560571,-0.279,2.366,-17.018,2
560595,-0.234,2.975,-16.594,2
560618,-0.179,3.535,-16.209,2
560642,-0.109,3.776,-16.05,2
560666,-0.029,3.4,-16.323,2
560689,0.049,2.155,-17.195,2
560712,0.103,-0.08,-18.744,2
560736,0.105,-3.235,-20.924,2
560759,0.026,-7.026,-23.555,2
560782,-0.156,-11.003,-26.351,2
560805,-0.451,-14.639,-28.986,2
560828,-0.848,-17.467,-31.165,2
560851,-1.321,-19.209,-32.695,2
560874,-1.833,-19.872,-33.545,2
560897,-2.344,-19.755,-33.864,2
560920,-2.825,-19.373,-33.976,2
560943,-3.263,-19.295,-34.292,2
560966,-3.667,-19.939,-35.161,2
560989,-4.064,-21.392,-36.7,2
561012,-4.487,-23.309,-38.689,2
561035,-4.965,-24.942,-40.584,2
561058,-5.509,-25.325,-41.632,2
561081,-6.099,-23.575,-41.008,2
561104,-6.687,-19.231,-37.936,2
561127,-7.199,-12.553,-31.977,2
561150,-7.555,-4.637,-23.737,2
561173,-7.695,2.687,-15.533,2
561196,-7.608,7.22,-10.528,2
561219,-7.348,6.935,-11.004,2
561242,-7.052,0.571,-17.969,2
561265,-6.911,-11.895,-31.033,2
561288,-7.137,-29.057,-47.376,2
561311,-7.9,-48.263,-62.779,2
561334,-9.268,-66.154,-75.005,2
561357,-11.171,-79.42,-84.193,2
561380,-13.404,-85.577,-91.209,1
561403,-15.675,-83.527,-96.803,1
561426,-17.687,-73.732,-101.498,1
561449,-19.217,-57.967,-105.693,1
561472,-20.16,-38.737,-109.888,1
561495,-20.539,-18.56,-115.864,1
561519,-20.463,0.646,135.363,4
561542,-20.065,17.882,72.007,3
561565,-19.453,33.015,67.267,3
561588,-18.671,46.402,64.442,3
561611,-17.701,58.361,61.951,3
561634,-16.488,68.706,59.276,3
561657,-14.986,76.532,56.066,3
561680,-13.206,80.336,51.967,3
561703,-11.245,78.449,46.497,3
561726,-9.289,69.631,38.847,3
561749,-7.581,53.63,27.604,3
561772,-6.37,31.503,10.617,3
561795,-5.844,5.578,-13.149,2
561819,-6.081,-20.933,-38.681,2
561842,-7.029,-44.576,-58.527,2
561865,-8.52,-62.365,-71.572,2
561888,-10.31,-72.36,-79.894,2
561911,-12.141,-73.96,-85.155,2
561934,-13.794,-67.884,-88.165,2
561957,-15.125,-55.851,-89.014,2
561980,-16.077,-40.117,-86.804,2
562003,-16.661,-22.999,-77.694,2
562026,-16.925,-6.521,-45.118,2
562049,-16.924,7.77,13.558,3
